x1,y1,z1,x2,y2,z2,x3,y3,z3,
0.0845244,0.0224807,0.00518309,10.2331,12.6587,5.01941,22.3145,13.6765,-5.53772,
0.0870131,0.0235056,0.00541681,10.0651,12.8071,5.07729,22.2336,13.8794,-5.61897,
0.0895288,0.0245585,0.00565675,9.8954,12.9532,5.13428,22.1517,14.0816,-5.69996,
0.0920707,0.0256397,0.00590294,9.72409,13.0972,5.19038,22.0688,14.2832,-5.78068,
0.0946386,0.0267492,0.0061554,9.55116,13.239,5.24558,21.985,14.4842,-5.86112,
0.097232,0.0278872,0.00641417,9.37665,13.3785,5.29987,21.9002,14.6846,-5.94129,
0.0998503,0.029054,0.00667929,9.20061,13.5158,5.35326,21.8144,14.8843,-6.02119,
0.102493,0.0302497,0.00695077,9.02306,13.6508,5.40573,21.7276,15.0834,-6.1008,
0.10516,0.0314745,0.00722864,8.84405,13.7836,5.45728,21.64,15.2819,-6.18014,
0.10785,0.0327285,0.00751293,8.66362,13.9141,5.50791,21.5513,15.4797,-6.2592,
0.110564,0.0340119,0.00780367,8.48179,14.0423,5.55761,21.4618,15.6768,-6.33798,
0.1133,0.0353247,0.00810086,8.29861,14.1682,5.60639,21.3714,15.8733,-6.41648,
0.116058,0.0366672,0.00840454,8.11411,14.2918,5.65424,21.28,16.0692,-6.49469,
0.118838,0.0380395,0.00871471,7.92833,14.4131,5.70115,21.1878,16.2644,-6.57262,
0.12164,0.0394416,0.0090314,7.7413,14.5321,5.74712,21.0947,16.4589,-6.65026,
0.124462,0.0408737,0.00935461,7.55307,14.6488,5.79215,21.0007,16.6527,-6.72761,
0.127304,0.0423359,0.00968437,7.36367,14.7631,5.83624,20.9059,16.8459,-6.80468,
0.130166,0.0438282,0.0100207,7.17313,14.875,5.87939,20.8102,17.0384,-6.88146,
0.133048,0.0453509,0.0103635,6.98149,14.9847,5.92159,20.7137,17.2302,-6.95794,
0.135949,0.0469039,0.010713,6.78878,15.0919,5.96284,20.6163,17.4214,-7.03414,
0.138868,0.0484873,0.011069,6.59505,15.1968,6.00314,20.5182,17.6118,-7.11004,
0.141805,0.0501012,0.0114316,6.40033,15.2994,6.04249,20.4192,17.8016,-7.18565,
0.144759,0.0517457,0.0118008,6.20465,15.3995,6.08089,20.3194,17.9907,-7.26096,
0.147731,0.0534208,0.0121765,6.00805,15.4974,6.11833,20.2188,18.179,-7.33598,
0.15072,0.0551266,0.0125589,5.81056,15.5928,6.15482,20.1175,18.3667,-7.41071,
0.153724,0.0568632,0.0129478,5.61222,15.6859,6.19036,20.0153,18.5537,-7.48514,
0.156745,0.0586304,0.0133434,5.41307,15.7765,6.22494,19.9124,18.74,-7.55927,
0.159781,0.0604285,0.0137455,5.21313,15.8648,6.25856,19.8088,18.9256,-7.63311,
0.162832,0.0622575,0.0141542,5.01244,15.9508,6.29123,19.7044,19.1105,-7.70665,
0.165897,0.0641172,0.0145694,4.81104,16.0343,6.32295,19.5993,19.2947,-7.77989,
0.168976,0.0660079,0.0149913,4.60897,16.1155,6.35371,19.4934,19.4782,-7.85283,
0.172069,0.0679294,0.0154197,4.40624,16.1942,6.38351,19.3868,19.6609,-7.92548,
0.175175,0.0698819,0.0158546,4.2029,16.2706,6.41236,19.2796,19.843,-7.99782,
0.178294,0.0718652,0.0162961,3.99899,16.3447,6.44026,19.1716,20.0243,-8.06987,
0.181425,0.0738794,0.0167441,3.79452,16.4163,6.4672,19.0629,20.205,-8.14162,
0.184568,0.0759245,0.0171987,3.58955,16.4856,6.4932,18.9536,20.3849,-8.21306,
0.187723,0.0780005,0.0176597,3.38409,16.5525,6.51824,18.8436,20.5641,-8.28421,
0.190889,0.0801074,0.0181272,3.17818,16.617,6.54233,18.7329,20.7426,-8.35505,
0.194065,0.0822451,0.0186012,2.97186,16.6791,6.56548,18.6216,20.9204,-8.4256,
0.197252,0.0844136,0.0190817,2.76515,16.7389,6.58768,18.5097,21.0974,-8.49584,
