h_x,h_y,h_z
0,0,200
0,0,212.954
0,0,223.989
0,0,227.104
0,0,228.105
0,0,228.471
0,0,228.608
0,0,228.653
0,0,228.657
0,0,228.642
0,0,228.619
0,0,228.594
0,0,228.567
0,0,228.541
0,0,228.517
0,0,228.493
0,0,228.472
0,0,228.451
0,0,228.432
0,0,228.414
0,0,228.398
0,0,228.383
0,0,228.368
0,0,228.355
0,0,228.342
0,0,228.33
0,0,228.319
0,0,228.309
0,0,228.299
0,0,228.29
0,0,228.281
0,0,228.273
0,0,228.265
0,0,228.258
0,0,228.251
0,0,228.244
0,0,228.238
0,0,228.232
0,0,228.226
0,0,228.22
0,0,228.215
0,0,228.21
0,0,228.205
0,0,228.2
0,0,228.196
0,0,228.192
0,0,228.188
0,0,228.184
0,0,228.18
0,0,228.176
0,0,228.173
0,0,228.169
0,0,228.166
0,0,228.163
0,0,228.16
0,0,228.157
0,0,228.154
0,0,228.151
0,0,228.149
0,0,228.146
0,0,228.143
0,0,228.141
0,0,228.139
0,0,228.136
0,0,228.134
0,0,228.132
0,0,228.13
0,0,228.128
0,0,228.126
0,0,228.124
0,0,228.122
0,0,228.12
0,0,228.118
0,0,228.117
0,0,228.115
0,0,228.113
0,0,228.112
0,0,228.11
0,0,228.109
0,0,228.107
0,0,228.106
0,0,228.104
0,0,228.103
0,0,228.102
0,0,228.1
0,0,228.099
0,0,228.098
0,0,228.096
0,0,228.095
0,0,228.094
0,0,228.093
0,0,228.092
0,0,228.091
0,0,228.09
0,0,228.088
0,0,228.087
0,0,228.086
0,0,228.085
0,0,228.084
0,0,228.083
0,0,228.082
0,0,228.082
0,0,228.081
0,0,228.08
0,0,228.079
0,0,228.078
0,0,228.077
0,0,228.076
0,0,228.075
0,0,228.075
0,0,228.074
0,0,228.073
0,0,228.072
0,0,228.072
0,0,228.071
0,0,228.07
0,0,228.069
0,0,228.069
0,0,228.068
0,0,228.067
0,0,228.067
0,0,228.066
0,0,228.065
0,0,228.065
0,0,228.064
0,0,228.064
0,0,228.063
0,0,228.062
0,0,228.062
0,0,228.061
0,0,228.061
0,0,228.06
0,0,228.059
0,0,228.059
0,0,228.058
0,0,228.058
0,0,228.057
0,0,228.057
0,0,228.056
0,0,228.056
0,0,228.055
0,0,228.055
0,0,228.054
0,0,228.054
0,0,228.053
0,0,228.053
0,0,228.052
0,0,228.052
0,0,228.052
0,0,228.051
0,0,228.051
0,0,228.05
0,0,228.05
0,0,228.049
0,0,228.049
0,0,228.049
0,0,228.048
0,0,228.048
0,0,228.047
0,0,228.047
0,0,228.047
0,0,228.046
0,0,228.046
0,0,228.046
0,0,228.045
0,0,228.045
0,0,228.044
0,0,228.044
0,0,228.044
0,0,228.043
0,0,228.043
0,0,228.043
0,0,228.042
0,0,228.042
0,0,228.042
0,0,228.041
0,0,228.041
0,0,228.041
0,0,228.041
0,0,228.04
0,0,228.04
0,0,228.04
0,0,228.039
0,0,228.039
0,0,228.039
0,0,228.038
0,0,228.038
0,0,228.038
0,0,228.038
0,0,228.037
0,0,228.037
0,0,228.037
0,0,228.037
0,0,228.036
0,0,228.036
0,0,228.036
0,0,228.036
0,0,228.035
0,0,228.035
0,0,228.035
0,0,228.035
0,0,228.034
0,0,228.034
0,0,228.034
0,0,228.034
0,0,228.033
0,0,228.033
0,0,228.033
0,0,228.033
0,0,228.032
0,0,228.032
0,0,228.032
0,0,228.032
0,0,228.032
0,0,228.031
0,0,228.031
0,0,228.031
0,0,228.031
0,0,228.03
0,0,228.03
0,0,228.03
0,0,228.03
0,0,228.03
0,0,228.029
0,0,228.029
0,0,228.029
0,0,228.029
0,0,228.029
0,0,228.028
0,0,228.028
0,0,228.028
0,0,228.028
0,0,228.028
0,0,228.028
0,0,228.027
0,0,228.027
0,0,228.027
0,0,228.027
0,0,228.027
0,0,228.026
0,0,228.026
0,0,228.026
0,0,228.026
0,0,228.026
0,0,228.026
0,0,228.025
0,0,228.025
0,0,228.025
0,0,228.025
0,0,228.025
0,0,228.025
0,0,228.025
0,0,228.024
0,0,228.024
0,0,228.024
0,0,228.024
0,0,228.024
0,0,228.024
0,0,228.023
0,0,228.023
0,0,228.023
0,0,228.023
0,0,228.023
0,0,228.023
0,0,228.023
0,0,228.022
0,0,228.022
0,0,228.022
0,0,228.022
0,0,228.022
0,0,228.022
0,0,228.022
0,0,228.021
0,0,228.021
0,0,228.021
0,0,228.021
0,0,228.021
0,0,228.021
0,0,228.021
0,0,228.021
0,0,228.02
0,0,228.02
0,0,228.02
0,0,228.02
0,0,228.02
0,0,228.02
0,0,228.02
0,0,228.02
0,0,228.019
0,0,228.019
0,0,228.019
0,0,228.019
0,0,228.019
0,0,228.019
0,0,228.019
0,0,228.019
0,0,228.019
0,0,228.018
0,0,228.018
0,0,228.018
0,0,228.018
0,0,228.018
0,0,228.018
0,0,228.018
0,0,228.018
0,0,228.018
0,0,228.017
0,0,228.017
0,0,228.017
0,0,228.017
0,0,228.017
0,0,228.017
0,0,228.017
0,0,228.017
0,0,228.017
0,0,228.017
0,0,228.016
0,0,228.016
0,0,228.016
0,0,228.016
0,0,228.016
0,0,228.016
0,0,228.016
0,0,228.016
0,0,228.016
0,0,228.016
0,0,228.015
0,0,228.015
0,0,228.015
0,0,228.015
0,0,228.015
0,0,228.015
0,0,228.015
0,0,228.015
0,0,228.015
0,0,228.015
0,0,228.015
0,0,228.014
0,0,228.014
0,0,228.014
0,0,228.014
0,0,228.014
0,0,228.014
0,0,228.014
0,0,228.014
0,0,228.014
0,0,228.014
0,0,228.014
0,0,228.014
0,0,228.013
0,0,228.013
0,0,228.013
0,0,228.013
0,0,228.013
0,0,228.013
0,0,228.013
0,0,228.013
0,0,228.013
0,0,228.013
0,0,228.013
0,0,228.013
0,0,228.012
0,0,228.012
0,0,228.012
0,0,228.012
0,0,228.012
0,0,228.012
0,0,228.012
0,0,228.012
0,0,228.012
0,0,228.012
0,0,228.012
0,0,228.012
0,0,228.012
0,0,228.012
0,0,228.011
0,0,228.011
0,0,228.011
0,0,228.011
0,0,228.011
0,0,228.011
0,0,228.011
0,0,228.011
0,0,228.011
0,0,228.011
0,0,228.011
0,0,228.011
0,0,228.011
0,0,228.011
0,0,228.011
0,0,228.01
0,0,228.01
0,0,228.01
0,0,228.01
0,0,228.01
0,0,228.01
0,0,228.01
0,0,228.01
0,0,228.01
0,0,228.01
0,0,228.01
0,0,228.01
0,0,228.01
0,0,228.01
0,0,228.01
0,0,228.009
0,0,228.009
0,0,228.009
0,0,228.009
0,0,228.009
0,0,228.009
0,0,228.009
0,0,228.009
0,0,228.009
0,0,228.009
0,0,228.009
0,0,228.009
0,0,228.009
0,0,228.009
0,0,228.009
0,0,228.009
0,0,228.009
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.008
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.007
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.006
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.005
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
0,0,228.004
